"kappa","method","n_rep","mean_est","mean_bias","mc_sd","mean_se","rmse","coverage","mean_q95_abs_phi","mean_q99_abs_phi","median_max_abs_phi","active_frac_mean","h_l2_mean","M_rel_train","active_train","cutoff_mean","delta_sd","delta_mad","delta_q95","delta_q99","response_rate","e_min","e_q01","e_q05","method_label"
0,"RelAda_rho0.05",500,2.64770204397539,0.00940225741089482,0.194266815521536,0.276639029915283,0.194300074282213,0.998,23.6556261051676,42.3775636967666,91.34829836207,0.155206186280295,0.0375267738714091,0.0432834221862544,0.153978339525076,0.427102426728292,1.07281172895627,0.453756883766779,2.12879654220598,4.39981998260646,0.498942528735632,0.5,0.5,0.5,"RelAda rho=0.05"
1,"RelAda_rho0.40",500,2.6984679914613,0.0601682048968049,0.227912372532388,0.277794307144397,0.23550026398019,0.98,23.7190457798608,42.4713428810427,107.550764005072,0.190328084491565,0.161397625064028,0.28198761921867,0.189578233198789,0.284770907786294,3.52105627843656,3.13125220101754,9.54700368259268,11.4790142313937,0.499988505747126,0.0691650908157914,0.101801066462685,0.164970050769187,"RelAda rho=0.40"
2,"RelAda_rho0.60",500,2.75700212798514,0.118702341420641,0.294724047582419,0.317774189633926,0.317456745957082,0.952,22.7906136374126,51.7372352438139,145.676004045407,0.169299102582365,0.2344284654205,0.468579183982881,0.168901182593087,0.128333332287919,17.0705057258093,8.71369132437053,43.9993932880561,65.8803334455739,0.500438058748404,0.00558667591233101,0.0129026156207339,0.0381988072197333,"RelAda rho=0.60"
3,"RelAda_rho0.60",500,2.81116518338825,0.172865396823751,0.403960684731906,0.390029498435143,0.439021994618134,0.9,21.0080842615233,58.5826717293359,226.728740185661,0.173656596324861,0.278386554567657,0.437763656699512,0.173385658955249,0.0575027408820271,27.9248153246328,11.3637493080768,56.8753815434298,135.082168238586,0.499724137931034,0.00042748365511857,0.00151545713250954,0.00797435580999725,"RelAda rho=0.60"
