n_samp,kappa,d_effect,method,mean_bias,emp_sd,rmse,coverage,q99_abs_phi_mean,max_abs_phi_median,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
500,3.5,0.5,AIPW,0.07606286828775546,1.5910618823152898,1.5912889484509467,0.824,8.763949757682774,39.59052824774352,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,0.5,Truncated AIPW,-0.09475335464236186,0.10273312416591568,0.13968244280248276,0.758,8.315231828975785,26.046240228615908,NA,NA,35.2841019667225,0.6738999005901493,11.164377999862218,30.3103589601983,0.2,NA,NA,NA,NA
500,3.5,0.5,Fixed TS-AIPW,-0.06110207168853029,0.11421636906039791,0.1294324200810934,0.804,8.320741855219184,26.046852586780716,0.202544,0.33510002851196924,35.30825414891988,0.9527061030215636,10.081590835185018,28.628734963776242,0.2,NA,NA,NA,NA
500,3.5,0.5,Shrinking quantile TS,-0.004469306314275226,0.37848278310600264,0.3781305242537039,0.826,8.763949757682774,39.59052824774352,0.02084,0.09313403045047929,29.46069534845457,0.06425410887442239,0.13858045983749964,0.1952669384574706,0.2,NA,NA,NA,NA
500,3.5,0.5,L2-grid TS (rho=0.05),-0.033352243721623986,0.22726519467231204,0.22947449081170573,0.816,8.727479159578293,35.82930890863342,0.093524,0.20928580613348702,35.02761249360242,0.25211750545050393,4.2126318087744234,22.71520373574908,0.2,0.05,0.043543514458377945,0.093805,1
500,3.5,0.5,L2-grid TS (rho=0.10),-0.040082403830574875,0.19520085334238355,0.19908230834541984,0.824,8.658703939499894,32.00974086460582,0.14241600000000001,0.27126996180065843,35.07662127291835,0.6470059373303596,6.0927564540559125,24.692703282553275,0.2,0.1,0.07722548211174093,0.142347,1
500,3.5,0.5,L2-grid TS (rho=0.20),-0.04333981401805463,0.16749147038081524,0.17284566915068025,0.82,8.579610791537169,29.85411337430517,0.162696,0.2943932504539702,35.1563203222699,0.8929352489916274,6.926219442481946,25.072348645568745,0.2,0.2,0.1290977491430824,0.16267700000000002,1
500,3.5,0.5,L2-grid TS (rho=0.40),-0.045147616020300936,0.16399465776113564,0.16993753708630757,0.82,8.541000724854651,29.060154484044908,0.168584,0.3005244927147053,35.18650123430852,0.9269170209355618,7.192451861110176,25.06761384429648,0.2,0.4,0.2233629499100471,0.168574,1
1500,3.5,0.5,AIPW,0.011822287147744939,0.3264625841215899,0.32635016419037877,0.848,7.935028703761273,85.61926548652076,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,0.5,Truncated AIPW,-0.09620437616412705,0.05463365667078467,0.11060808632947046,0.56,7.70389769088841,36.369344034260976,NA,NA,12.16883962271642,1.7697047237754,18.235573496199162,44.5317113088347,0.2,NA,NA,NA,NA
1500,3.5,0.5,Fixed TS-AIPW,-0.06313366339900743,0.06002610644929938,0.08707345544269428,0.73,7.7058038961576,36.39326149863008,0.20007333333333333,0.33215460882996456,12.202232282755174,1.5409216090572158,16.987495840245284,45.220586115566476,0.2,NA,NA,NA,NA
1500,3.5,0.5,Shrinking quantile TS,0.01288187055769599,0.3264632272371268,0.3263909080376918,0.848,7.935028703761273,85.61926548652076,0.007916,0.05545635632606121,0.016570987423500612,0.040458725413846444,0.06955849990702055,0.08607769859179694,0.2,NA,NA,NA,NA
1500,3.5,0.5,L2-grid TS (rho=0.05),-0.024449296291714235,0.14300207053709907,0.1449360586006867,0.838,7.925277236191702,73.46984798885993,0.0792,0.1931328559026977,10.519859920369017,0.457792523465841,7.600702520327072,40.345890503655355,0.2,0.05,0.044642376355112326,0.07938233333333333,1
1500,3.5,0.5,L2-grid TS (rho=0.10),-0.0347582969348191,0.1093458321273278,0.11463305451491543,0.834,7.907579311708291,58.511712674348416,0.11550533333333333,0.2400768657449445,11.246352856724588,1.0285155149188434,11.260561723238942,40.96797587835523,0.2,0.1,0.07760287198791768,0.115461,1
1500,3.5,0.5,L2-grid TS (rho=0.20),-0.037492233456980155,0.10493285344677536,0.1113308110749678,0.818,7.889619355038723,52.86054619052855,0.124824,0.25056726181989486,11.343251576889799,1.1330273214581246,11.746832261118918,41.01572003060187,0.2,0.2,0.1483643632918386,0.12478433333333333,1
1500,3.5,0.5,L2-grid TS (rho=0.40),-0.04043389964297343,0.10331276317100566,0.110847102895377,0.814,7.858524768930603,48.403181901111,0.13383466666666666,0.2607506323984517,11.454928586880069,1.2162957126716707,11.98478857912747,41.190110266049224,0.2,0.4,0.30662319214355305,0.13382333333333332,1
5000,3.5,0.5,AIPW,0.02671667907747424,1.1209257552657899,1.1201229310488532,0.8,7.716455097843941,188.05954002935192,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
5000,3.5,0.5,Truncated AIPW,-0.09806573079215208,0.03033383688914383,0.1026410684516446,0.092,7.517483665954617,46.88141971453832,NA,NA,79.18000413915507,3.9946786792460216,20.49051612708165,56.83040860263466,0.2,NA,NA,NA,NA
5000,3.5,0.5,Fixed TS-AIPW,-0.06475157181235296,0.033404247242223226,0.0728448906823412,0.448,7.518835468059477,46.887428087000444,0.2009228,0.3336285254235237,79.20545644540995,2.354962335324406,18.099483087889737,55.195351064895284,0.2,NA,NA,NA,NA
5000,3.5,0.5,Shrinking quantile TS,-0.015604334737166208,0.26905638849303787,0.26923976818280065,0.802,7.716455097843941,188.05954002935192,0.0035044,0.03572404448329735,69.9137709095752,0.031749215442108736,0.04555982800687019,0.052657565582071866,0.2,NA,NA,NA,NA
5000,3.5,0.5,L2-grid TS (rho=0.05),-0.029708997394668035,0.06929549556142307,0.07533184253613734,0.81,7.714224808006327,155.57616369204158,0.0663032,0.17609254450636283,78.87303068427674,0.8362818206900384,10.555285383046506,51.65552120617471,0.2,0.05,0.042891586472731266,0.0663413,1
5000,3.5,0.5,L2-grid TS (rho=0.10),-0.03382005059385452,0.06225655408982234,0.07079493337983712,0.79,7.710686018902858,128.92429629350227,0.0803468,0.19559280062398654,78.91167182888059,1.1415861428160134,11.54751637264678,51.70193155159309,0.2,0.1,0.06965492534350894,0.0804683,1
5000,3.5,0.5,L2-grid TS (rho=0.20),-0.03510438089281427,0.061292017184759434,0.07057985198130891,0.776,7.708704939724827,124.6977056031296,0.085128,0.20174322989590912,78.95105281201369,1.2037374494432016,11.583005900036445,51.81927114312964,0.2,0.2,0.1468281812201462,0.0852266,1
5000,3.5,0.5,L2-grid TS (rho=0.40),-0.03719433296243873,0.0601841129415956,0.07069866759838093,0.754,7.704198125456589,115.39702150448615,0.093006,0.21181449180667236,79.01412039617789,1.3661522373767565,11.607538705698275,52.08084265541093,0.2,0.4,0.32719270065757167,0.0931024,1
12000,3.5,0.5,AIPW,3.907909454139206e-4,0.15030012503225176,0.15015025823189287,0.838,7.6981446333537,392.96172965696337,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
12000,3.5,0.5,Truncated AIPW,-0.09926516812855841,0.018729305119387626,0.10101316201419287,0.004,7.516157083100452,54.09150573033645,NA,NA,16.17166256451112,7.537006545931401,28.707202204507336,68.19341309282274,0.2,NA,NA,NA,NA
12000,3.5,0.5,Fixed TS-AIPW,-0.06584900716498372,0.020821239640290628,0.06905612729318211,0.096,7.517517003857375,54.14331048401912,0.2000245,0.3325542359714714,16.189347504793233,4.053920942472441,24.82474640337727,64.17065884671865,0.2,NA,NA,NA,NA
12000,3.5,0.5,Shrinking quantile TS,6.330179105520643e-4,0.1502996681426059,0.15015062762094933,0.838,7.6981446333537,392.96172965696337,0.001934,0.025785008211578177,0.004448140357843319,0.026202144351594386,0.03414562881863216,0.03741841503343687,0.2,NA,NA,NA,NA
12000,3.5,0.5,L2-grid TS (rho=0.05),-0.023827609513021607,0.052801254874043836,0.05788049366018079,0.814,7.697870263464088,272.7135419636461,0.05113616666666667,0.15182617336648582,14.369251331517043,1.171173261937142,15.517170577081473,46.39441547396072,0.2,0.05,0.037907359872950214,0.051107708333333335,1
12000,3.5,0.5,L2-grid TS (rho=0.10),-0.025789564954248397,0.052164448068219745,0.058144552999458754,0.794,7.697783614501946,245.9828230181197,0.0547685,0.15749850248325908,14.411808417521225,1.2174168420765914,15.687676360237385,46.726438222079956,0.2,0.1,0.05869054053820756,0.05474729166666667,1
12000,3.5,0.5,L2-grid TS (rho=0.20),-0.026905625172344683,0.05151218372430158,0.05806987797315245,0.782,7.697524142596895,239.4595634770023,0.05738883333333333,0.16152638494321192,14.456217495227879,1.2498128948938936,15.841315073512689,46.84592754105898,0.2,0.2,0.12692565899791605,0.0573975,1
12000,3.5,0.5,L2-grid TS (rho=0.40),-0.028732613560423247,0.0506000701216296,0.05814472842944425,0.758,7.696216107529636,223.74120591653593,0.06218116666666667,0.16874781283119547,14.54786084239297,1.3867401769321903,16.169028539034606,47.19047449165722,0.2,0.4,0.2955377229821875,0.062188958333333336,1
500,3.5,1,AIPW,0.29292942451833137,3.8405457819539137,3.8478695361493314,0.682,10.123974460166528,49.39321963154356,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
500,3.5,1,Truncated AIPW,-0.18893354262477996,0.11277693230959916,0.21997518659383183,0.528,9.601112459251405,31.582946487840456,NA,NA,85.70840175750769,0.9329940519846178,24.23971372516018,128.8552249574306,0.2,NA,NA,NA,NA
500,3.5,1,Fixed TS-AIPW,-0.1219149789282677,0.12498664060079219,0.17450982521077205,0.696,9.606681419866279,31.631537338356786,0.200332,0.33281122166232,85.73743109478025,1.4560283109917405,22.81741238727856,126.27235862647052,0.2,NA,NA,NA,NA
500,3.5,1,Shrinking quantile TS,0.1553191264279961,2.0526497563398896,2.056469866346735,0.696,10.123974460166528,49.39321963154356,0.020843999999999998,0.0934983463712997,69.33411710281565,0.1269994999878452,0.22542601590292194,0.3069758803875988,0.2,NA,NA,NA,NA
500,3.5,1,L2-grid TS (rho=0.05),0.04892240875602862,0.9388251006488821,0.9391608949203851,0.696,10.12009078632514,48.7646789179252,0.03702,0.1222084758564994,77.34184046779878,0.16542782056237298,0.36295548754877266,48.50120572822394,0.2,0.05,0.04733842252038624,0.037348,1
500,3.5,1,L2-grid TS (rho=0.10),-0.03138171802810877,0.4243747513178502,0.4251100491912309,0.718,10.108602759372635,44.77696912626124,0.092076,0.2108551757186558,84.34845133183941,0.5649202531627062,8.979340858651286,98.07365412620837,0.2,0.1,0.09309817255142813,0.092646,1
500,3.5,1,L2-grid TS (rho=0.20),-0.07406940157746779,0.26060155054517165,0.2706725291940406,0.728,9.991875549273058,37.81034533659618,0.15218,0.28265528850558425,84.57297564993245,1.345976478693791,17.21925066021198,98.59218439569369,0.2,0.2,0.16129969929224838,0.152191,1
500,3.5,1,L2-grid TS (rho=0.40),-0.083853491691629,0.23287507386411724,0.24729283551296372,0.722,9.958234038970334,36.30313901270699,0.164808,0.29580551044035996,84.70196460284022,1.4654031266230074,17.388027258545847,117.01695804390889,0.2,0.4,0.2574175988798338,0.164614,1
1500,3.5,1,AIPW,0.003470143542935066,0.47729863208159173,0.4768337216627966,0.666,9.214458607443456,114.53898900643566,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
